"Gross domestic product, income-based, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0103-01 (formerly CANSIM 380-0063)"
"Release date: 2025-11-28"
"Geography: Canada"
""
""

"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
"Consumption of fixed capital: unincorporated businesses","26,720","27,084","27,108","27,424","28,540","28,252","28,580","28,508","28,556","28,996","29,300","29,636","29,800","30,220","30,712","31,204","32,312","32,232","32,476","32,828","33,564","34,008","34,404","34,544","34,088","34,528","34,680","34,908","35,092","35,576","36,040","36,232","36,280","37,120","37,640","38,004","37,692","38,024","38,908","39,500","40,408","41,088","41,816","42,624","43,328","44,404","44,956","45,608","46,076","46,356","46,708","46,776","47,200","47,388","47,928","48,376","48,440","48,892","48,988","49,768","49,400","50,144","51,928","51,144","51,508","53,420","55,052","53,448","54,728","54,600","55,492","55,528","56,652","57,004","57,496","58,320","58,796","64,700","60,068","59,740","61,520","61,776","62,136","63,548","64,644","66,228","66,168","66,004","67,128","67,296","67,932","69,000","69,388","70,152","70,540","71,752","73,508","76,220","80,716","82,876","85,836","87,652","88,552","89,912","89,668","90,224","90,944","92,592","93,172","93,592","94,492","95,892","97,120","98,196","98,736"
"Taxes less subsidies on production 1 2","47,360","47,624","47,040","47,816","47,892","47,692","48,152","47,872","50,224","50,756","50,760","50,356","51,160","51,028","51,408","50,532","52,348","51,212","50,640","50,064","52,036","51,736","51,600","50,940","52,928","52,616","54,088","53,440","55,892","56,644","57,332","56,940","59,212","59,712","60,132","59,924","61,344","61,728","62,804","62,880","65,040","66,368","65,996","66,156","65,924","66,824","68,516","68,908","68,868","68,728","69,976","71,036","72,456","71,544","71,996","71,868","73,032","74,200","74,040","74,648","75,368","77,136","76,216","76,888","77,840","81,264","82,540","83,560","83,072","84,508","84,812","84,892","86,476","88,508","89,008","90,288","90,640","89,932","90,360","91,132","92,744","97,132","97,232","98,364","99,444","99,736","98,332","99,864","101,576","103,328","104,176","102,968","85,456","-26,160","7,168","42,544","35,716","34,036","66,556","88,308","90,920","101,544","103,440","106,116","104,896","108,436","105,072","106,236","115,576","109,988","110,172","101,428","113,052","113,876","115,708"
"Taxes less subsidies on products and imports 1 2","64,692","65,984","66,676","68,228","67,200","69,944","70,260","71,576","73,788","72,512","74,728","75,748","76,628","78,432","78,740","80,660","74,868","78,416","81,132","81,160","86,012","88,956","88,772","90,712","89,896","85,724","90,308","91,216","92,232","93,344","94,792","95,596","95,464","97,988","97,760","99,620","101,760","102,052","99,348","99,612","102,096","104,208","105,300","106,820","101,048","102,744","102,996","101,196","103,784","100,712","102,184","102,184","102,984","106,816","109,016","109,172","109,140","112,032","112,260","113,404","116,004","116,156","116,684","118,248","119,080","118,836","120,996","122,364","125,184","126,264","128,412","128,716","130,720","133,416","134,400","135,972","137,208","139,364","140,636","140,508","145,876","149,408","150,012","151,140","152,300","152,240","155,756","148,880","152,636","153,980","151,468","148,488","142,412","115,824","143,476","144,440","155,780","165,048","176,220","180,716","187,188","193,648","186,420","189,544","198,076","199,776","198,720","197,704","205,996","206,092","204,640","205,392","210,520","203,028","202,984"
"Statistical discrepancy","-548","-1,232","-752","-2,048","-908","-1,156","1,024","-1,164","-1,632","-968","-940","-2,136","-1,568","-1,680","-1,304","476","-600","532","960","-436","-1,448","-532","-984","68","-2,004","-1,296","-48","-172","-860","24","68","-232","308","-984","-1,444","248","820","-764","772","36","976","696","1,200","1,052","72","-552","1,164","620","212","1,332","1,480","392","848","1,068","2,136","1,440","1,148","912","1,244","824","1,504","1,192","404","1,028","1,404","-528","-1,612","1,176","1,556","220","-244","708","216","816","1,268","1,164","-1,164","-1,528","-1,276","-1,312","1,936","172","1,032","96","-464","440","-160","-136","-1,812","-1,464","1,304","1,452","-524","844","-360","-840","-828","-1,212","-136","648","-436","356","664","-368","-516","316","200","772","1,048","344","-64","1,152","-192","324","-920"
"Gross domestic product at market prices","891,748","899,412","912,564","923,980","934,612","935,212","938,872","953,496","975,240","994,172","1,021,308","1,040,988","1,070,188","1,099,448","1,121,768","1,132,880","1,149,924","1,152,860","1,138,804","1,136,584","1,158,640","1,185,892","1,204,144","1,226,100","1,250,088","1,237,720","1,258,296","1,272,884","1,296,216","1,328,148","1,351,480","1,367,080","1,380,324","1,399,608","1,436,992","1,469,436","1,476,000","1,490,716","1,504,936","1,514,764","1,547,276","1,576,612","1,582,248","1,604,508","1,637,296","1,677,448","1,694,512","1,618,908","1,557,232","1,548,488","1,567,924","1,611,692","1,644,032","1,653,240","1,665,372","1,701,548","1,737,952","1,759,852","1,785,748","1,812,700","1,815,120","1,818,984","1,830,636","1,844,064","1,876,844","1,886,592","1,912,428","1,933,124","1,963,452","1,988,404","2,013,792","2,013,944","1,984,300","1,984,920","2,000,864","1,991,680","1,998,420","2,002,152","2,035,420","2,066,148","2,107,948","2,130,020","2,141,752","2,182,844","2,207,068","2,240,068","2,258,952","2,236,612","2,268,912","2,312,680","2,322,476","2,350,184","2,288,016","2,015,932","2,246,484","2,331,676","2,431,388","2,488,016","2,563,304","2,660,564","2,777,840","2,898,284","2,888,752","2,891,760","2,912,428","2,935,200","2,997,664","3,015,512","3,036,308","3,088,908","3,132,052","3,176,936","3,220,856","3,208,880","3,255,456"




Footnotes:
1,"This series may be impacted by government COVID-19 support measures. Details may be found in the table  <a href="https://www150.statcan.gc.ca/n1/en/type/data?text=36100687" rel="external noopener noreferrer" target="_blank">Federal government COVID-19 support measures in the System of Macroeconomic Accounts, quarterly (opens new window)</a>."
2,"A review of subsidies in the Canadian System of Macroeconomic Accounts has determined that several entries in the public accounts should be reclassified as subsidies on production, from subsidies on products. The reclassification has no impact on the estimates of GDP at market prices, or on the overall estimates of subsidies. These changes have been incorporated into the data starting in 2020."



"How to cite: Statistics Canada. Table 36-10-0103-01  Gross domestic product, income-based, quarterly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610010301
